index;SpType;RA;DEC;B;V;RV;Teff;e_Teff;log(g);e_log(g);[Fe/H];e_[Fe/H];lum;misc;PHYSREF;NAMES
G_4-44;G5;42.99166666666667;11.369972222222223;8.92;8.38;6.2;5846.0;49.0;4.23;0.09;-0.66;0.09;;;2000A&A...353..722N (Nissen);G 4-44 HD 17820 BD+10 380 G 76-35 SAO 93151 HIP 13366
G_5-40;G0;51.91666666666666;21.041666666666668;11.36;10.79;-117.8;5893.0;76.0;4.19;0.13;-0.81;0.15;;;1997A&A...326..751N (Nissen);G 5-40 BD+20 571 G 6-11
G_7-6;G0;57.59583333333333;17.47636111111111;8.18;7.52;-9.3;5746.0;32.0;4.12;0.06;0.17;0.05;;;2001A&A...369.1048P (Prugniel);G 7-6 HD 24040 BD+17 638 SAO 93630 HIP 17960
G_11-45;G4V;183.1208333333333;-3.0844722222222223;8.15;7.5;14.1;5668.0;36.0;4.34;0.07;0.15;0.06;V;;1997A&A...323..809F (Favata);G 11-45 HD 106116 BD-02 3481 G 13-19 SAO 138647 HIP 59532
G_12-21;F2;183.00416666666663;13.261277777777778;10.65;10.18;95.0;5938.0;51.0;4.18;0.08;-1.32;0.12;;;2000A&A...353..722N (Nissen);G 12-21 HD 106038 BD+14 2481 G 57-39 SAO 99984 HIP 59490
G_12-22;G8V;183.24166666666667;10.037722222222222;8.71;7.92;-8.8;5479.0;84.0;4.48;0.16;0.24;0.14;V;;1998A&AS..129..237F (Feltzing);G 12-22 HD 106156 BD+10 2391 G 57-40 SAO 99991 HIP 59572
G_12-24;G3V;183.30416666666667;10.821666666666667;8.24;7.56;-29.5;5648.0;31.0;4.29;0.06;-0.15;0.05;V;;1994AJ....107.2240C (Carney);G 12-24 HD 106210 BD+11 2439 G 57-41 SAO 99995 HIP 59589
G_15-20;K3V;230.67916666666667;1.418638888888889;9.3;8.3;-30.4;4884.0;34.0;4.56;0.07;0.25;0.07;V;;1998A&AS..129..237F (Feltzing);G 15-20 HD 136834 BD+01 3071 SAO 120966 HIP 75266
G_16-13;G0;237.7458333333333;8.423277777777777;10.6;10.01;-51.5;5748.0;41.0;4.01;0.08;-0.84;0.08;;;1994AJ....107.2240C (Carney);G 16-13 BD+08 3095 HIP 77637
G_16-32;K1.5IV;242.2958333333333;6.378694444444444;6.97;5.94;-4.0;4862.0;25.0;3.67;0.06;0.08;0.05;IV;;1999A&A...348..487R (Randich);G 16-32 HD 145148 BD+06 3169 SAO 121392 HR 6014 HIP 79137
G_17-21;F8V;247.61666666666667;4.178222222222223;7.81;7.27;-51.7;5877.0;28.0;4.14;0.05;-0.73;0.05;V;;1993A&A...275..101E (Edvardsson);G 17-21 HD 148816 BD+04 3195 SAO 121653 HIP 80837
G_17-30;G0;249.57083333333333;-2.442166666666667;9.1;8.49;-36.0;5706.0;31.0;4.19;0.06;-0.48;0.06;;;2000AJ....120.1841F (Fulbright);G 17-30 HD 149996 BD-02 4219 SAO 141287 HIP 81461
G_19-24;K5;261.4375;2.111416666666667;8.9;7.54;-24.0;3959.0;15.0;4.59;0.06;-0.27;0.06;;;1998MNRAS.299..753Z (Zboril);G 19-24 HD 157881 BD+02 3312 G 20-2 SAO 122374 HIP 85295
G_22-7;K0IV-V;283.97083333333336;-5.745222222222222;8.21;7.46;-77.0;5534.0;31.0;4.3;0.06;0.31;0.05;IV;#NAME?;1998A&AS..129..237F (Feltzing);G 22-7 HD 175518 BD-05 4811 SAO 142809 HIP 92918
G_25-15;F9V;316.02916666666664;2.9944722222222224;7.86;7.33;-6.4;5887.0;47.0;4.32;0.08;-0.58;0.09;V;;2000A&AS..141..491C (Chen);G 25-15 HD 200580 BD+02 4295 SAO 126509 HIP 103987
G_25-29;G5;321.6791666666667;5.441638888888889;9.03;8.47;-84.6;5802.0;52.0;4.12;0.1;-0.65;0.1;;;2000A&A...364..249M (Mashonkina);G 25-29 HD 204155 BD+04 4674 G 93-9 SAO 126797 HIP 105888
G_27-44;F8;340.9625;3.886833333333333;7.93;7.46;-33.8;5987.0;45.0;4.18;0.08;-0.68;0.08;;;1993A&A...275..101E (Edvardsson);G 27-44 HD 215257 BD+03 4763 SAO 127714 HIP 112229
G_36-33;K1V;42.0375;27.068638888888888;8.46;7.62;5.7;5344.0;27.0;4.64;0.05;0.14;0.05;V;;1997A&A...323..809F (Favata);G 36-33 HD 17382 BD+26 465 SAO 75580 HIP 13081
G_37-26;A4p;47.10833333333333;26.330944444444444;8.51;8.05;-139.3;5876.0;35.0;3.99;0.06;-1.98;0.09;;p;2000A&A...362.1077Z (Zhao);G 37-26 HD 19445 BD+25 495 SAO 75749 HIP 14594
G_40-34;F0;131.10416666666666;24.79658333333333;9.65;9.29;49.7;6570.0;51.0;4.24;0.05;-1.39;0.12;;;1981ApJ...244..989P (Peterson);G 40-34 BD+25 1981 G 9-16 SAO 80390 HIP 42887
G_43-3;sdF5;147.23333333333332;13.74425;8.69;8.28;-16.7;6210.0;38.0;3.94;0.06;-2.12;0.09;VI;;2000A&A...364..249M (Mashonkina);G 43-3 HD 84937 BD+14 2151 SAO 98781 HIP 48152
G_43-33;F8;153.07916666666668;17.299166666666668;8.4;7.85;61.5;5954.0;35.0;4.01;0.06;-0.5;0.06;;;1999MNRAS.302...22C (Clementini);G 43-33 HD 88446 BD+18 2330 SAO 98999 HIP 49988
G_44-6;G1V;153.53333333333333;3.151305555555556;8.36;7.74;-24.2;5675.0;33.0;4.34;0.06;-0.64;0.07;V;;2000AJ....120.1841F (Fulbright);G 44-6 HD 88725 BD+03 2338 G 55-6 SAO 118176 HIP 50139
G_48-29;sd:A2;145.17916666666667;1.0081944444444444;10.88;10.5;-59.0;6227.0;50.0;3.92;0.08;-2.25;0.12;VI;;1994AJ....107.2240C (Carney);G 48-29 HD 83769 C BD+01 2341p G 161-58 BD+01 2341P
G_57-11;G5;174.75416666666666;6.057888888888889;8.3;7.61;23.9;5759.0;36.0;4.46;0.07;0.06;0.06;;;1998A&AS..129..237F (Feltzing);G 57-11 HD 101242 BD+06 2478 SAO 118971 HIP 56832
G_58-25;F4V;162.86666666666667;20.2775;8.7;8.23;61.9;5930.0;31.0;4.13;0.05;-1.39;0.07;V;;2000A&A...354..169G (Gratton);G 58-25 HD 94028 BD+21 2247 SAO 81555 HIP 53070
G_58-30;G0;164.29166666666666;21.804861111111112;8.59;7.96;9.8;5902.0;29.0;4.3;0.05;0.13;0.04;;;1998A&AS..129..237F (Feltzing);G 58-30 HD 94835 BD+22 2290 SAO 81595 HIP 53537
G_60-6;K2;187.00416666666663;7.458333333333334;12.01;11.09;-17.9;5046.0;40.0;4.6;0.08;0.1;0.08;;;1997AJ....114..376C (Castro);G 60-6
G_63-9;F9V;198.08333333333331;17.51711111111111;7.85;7.3;49.9;5897.0;32.0;4.19;0.06;-0.71;0.06;V;;1993A&A...275..101E (Edvardsson);G 63-9 HD 114762 BD+18 2700 SAO 100458 HIP 64426
G_65-16;G5;208.95;12.43875;9.21;8.58;29.6;5694.0;38.0;4.3;0.07;-0.42;0.07;;;1994AJ....107.2240C (Carney);G 65-16 HD 121533 BD+13 2728 SAO 100775
G_65-47;G1V;215.8125;1.2415555555555555;6.9;6.3;-18.5;5689.0;29.0;4.41;0.05;-0.37;0.05;V;;2003AJ....126.2015H (Heiter);G 65-47 HD 126053 BD+01 2920 SAO 120424 HR 5384 HIP 70319
G_74-5;F8V;32.604166666666664;29.80658333333333;9.34;8.77;24.2;5699.0;24.0;4.33;0.04;-0.95;0.05;V;;2000A&A...364..249M (Mashonkina);G 74-5 BD+29 366 G 94-39 SAO 75179 HIP 10140
G_75-62;G5;45.9125;-5.666305555555556;8.76;8.09;-19.9;5520.0;29.0;4.42;0.06;-0.47;0.06;;;1994AJ....107.2240C (Carney);G 75-62 HD 19034 BD-06 594 G 77-17 SAO 130263 HIP 14241
G_78-14;G8;46.44166666666667;45.08969444444445;10.5;9.72;-37.1;5286.0;39.0;4.57;0.08;-0.4;0.08;;;1994AJ....107.2240C (Carney);G 78-14 BD+44 619 G 95-5 HIP 14401
G_80-15;F9V;55.09166666666667;-3.216972222222222;7.23;6.74;114.2;5798.0;26.0;4.18;0.05;-0.89;0.05;V;;1993A&A...275..101E (Edvardsson);G 80-15 HD 22879 BD-03 592 SAO 130649 HIP 17147
G_81-38;G1V-VI;72.93333333333334;45.83416666666667;7.55;6.97;26.0;5786.0;28.0;4.25;0.05;-0.51;0.05;V;#NAME?;1993A&A...275..101E (Edvardsson);G 81-38 HD 30649 BD+45 992 SAO 39808 HIP 22596
G_82-12;G0;65.0625;-3.751388888888889;8.51;7.86;-35.8;5660.0;30.0;4.13;0.06;-0.26;0.05;;;1994AJ....107.2240C (Carney);G 82-12 HD 27485 BD-04 801 SAO 131123 HIP 20242
G_84-29;sd:F0;75.32083333333334;4.110277777777777;10.18;9.82;173.9;6189.0;40.0;3.88;0.06;-2.25;0.1;VI;;2000AJ....120.1841F (Fulbright);G 84-29 BD+03 740 HIP 23344
G_84-37;G0;77.4875;5.557416666666667;10.24;9.72;-16.0;5895.0;41.0;4.19;0.07;-1.06;0.09;;;2000A&A...353..722N (Nissen);G 84-37 HD 241253 BD+05 824 G 97-22 SAO 112483 HIP 24030
G_88-40;F8;113.64583333333331;16.90111111111111;9.46;8.95;-34.1;5932.0;36.0;4.14;0.06;-0.84;0.07;;;2000A&AS..141..491C (Chen);G 88-40 HD 60319 G 89-31 SAO 97032 HIP 36849
G_89-11;K0;109.975;9.228555555555555;9.8;8.6;;5131.0;33.0;4.47;0.06;0.16;0.06;;;1997AJ....114..376C (Castro);G 89-11 BD+09 1617 SAO 115271 HIP 35519
G_90-1;K2V;112.25833333333334;31.99383333333333;8.67;7.71;-1.1;4948.0;41.0;4.71;0.08;-0.06;0.08;V;;;G 90-1 BD+32 1561 SAO 60116 HIP 36357
G_90-25;sdG2;118.3875;30.605083333333337;8.95;8.3;-240.0;5479.0;30.0;4.28;0.06;-1.61;0.08;VI;;2000A&A...353..978M (Mishenina);G 90-25 HD 64090 BD+31 1684 SAO 60416 HIP 38541
G_95-4;G0;46.2375;34.77022222222222;9.27;8.66;22.3;5648.0;30.0;4.13;0.06;-0.42;0.05;;;1994AJ....107.2240C (Carney);G 95-4 HD 19059 BD+34 567 SAO 56136 HIP 14342
G_95-57;K1V;56.75833333333333;41.427277777777775;8.93;8.18;49.6;5187.0;33.0;4.63;0.07;-0.94;0.08;V;;1981ApJ...244..989P (Peterson);G 95-57 HD 23439 BD+41 750 G 95-57A HD 23439 A SAO 39100 HIP 17666
G_96-20;F8;76.37083333333334;40.257333333333335;10.08;9.66;;6284.0;37.0;4.26;0.04;-0.9;0.07;;;1994AJ....107.2240C (Carney);G 96-20 HD 277559 BD+40 1166 SAO 40012 HIP 23688
G_101-29;G0;94.00833333333334;37.72188888888889;9.51;8.92;242.2;5374.0;65.0;3.26;0.18;-2.01;0.15;;;2000A&A...354..169G (Gratton);G 101-29 BD+37 1458 G 98-58 SAO 58912 HIP 29759
G_102-27;G0;86.41666666666667;14.688916666666668;9.68;9.11;38.3;5595.0;36.0;3.65;0.08;-0.57;0.07;;;1994AJ....107.2240C (Carney);G 102-27 HD 247297 BD+14 1018 SAO 94838 HIP 27182
G_103-55;G0;101.34166666666668;35.53458333333333;9.46;8.81;50.1;5567.0;37.0;4.34;0.07;-0.36;0.07;;;1994AJ....107.2240C (Carney);G 103-55 BD+35 1484 G 87-2 SAO 59446 HIP 32364
G_103-68;M3;103.70416666666668;33.268166666666666;11.47;9.89;36.0;3477.0;11.0;4.76;0.07;-1.08;0.15;;;1994AJ....107.2240C (Carney);G 103-68 HD 265866 G 87-12 HIP 33226
G_107-27;K2;102.88333333333334;47.36780555555556;10.21;8.98;22.2;4197.0;21.0;4.67;0.07;-0.17;0.06;;;;G 107-27 HD 49601 BD+47 1355 G 193-14 HIP 32919
G_108-29;G0V;102.1625;7.622333333333334;8.53;7.93;-86.6;5752.0;30.0;4.31;0.06;-0.39;0.05;V;;1994AJ....107.2240C (Carney);G 108-29 HD 49409 BD+07 1457 G 110-18 SAO 114448 HIP 32650
G_108-43;G0;104.6625;-0.4804722222222222;9.6;9.03;-80.6;5805.0;38.0;4.23;0.07;-0.59;0.07;;;2000AJ....120.1841F (Fulbright);G 108-43 HD 51754 BD-00 1520 HIP 33582
G_112-54;G8V;118.64166666666668;-1.41225;8.17;7.44;93.4;5317.0;25.0;4.53;0.05;-0.78;0.06;V;;2000AJ....120.1841F (Fulbright);G 112-54 HD 64606 BD-01 1883 G 113-4 SAO 135239 HIP 38625
G_114-18;G5;132.3375;3.684;8.61;7.92;64.4;5444.0;58.0;4.5;0.11;-0.13;0.11;;;2001A&A...369.1048P (Prugniel);G 114-18 HD 75318 BD+04 2051 SAO 117167 HIP 43304
G_119-32;F5;161.84583333333333;28.39886111111111;10.72;10.22;74.0;5706.0;58.0;3.96;0.11;-1.9;0.14;;;2000AJ....120.1841F (Fulbright);G 119-32 BD+29 2091 HIP 52771
G_119-64;G0;168.2;35.728861111111115;10.18;9.75;-188.0;6134.0;55.0;4.16;0.07;-1.53;0.13;;;1994A&A...291..895A (Axer);G 119-64 BD+36 2165 G 147-30 HIP 54772
G_122-39;G0;174.775;44.305638888888886;9.08;8.39;14.0;5578.0;34.0;4.6;0.06;-0.33;0.06;;;1994A&A...291..895A (Axer);G 122-39 HD 101227 BD+45 1949 SAO 43848 HIP 56837
G_122-51;G8Vp;178.24583333333334;37.71866666666667;7.2;6.45;-98.0;5173.0;28.0;4.76;0.06;-1.22;0.08;V;p;2000A&A...362.1077Z (Zhao);G 122-51 HD 103095 BD+38 2285 G 176-64 SAO 62738 HR 4550 HIP 57939 NGP 38 28
G_122-66;G8Vw...;180.6208333333333;43.08408333333333;7.5;6.64;-13.1;4955.0;26.0;3.37;0.07;-0.53;0.06;V;w...;Jones..Coude.Feed.Library;G 122-66 HD 104556 BD+43 2182 SAO 44005 HIP 58708 NGP 43 62
G_123-29;G0V;186.19166666666663;38.31875;8.58;8.02;-1.3;5745.0;24.0;4.28;0.05;-0.83;0.05;V;;2000AJ....120.1841F (Fulbright);G 123-29 HD 108076 BD+39 2519 G 198-49 SAO 62989 HIP 60551
G_124-40;K0;216.7;-5.177777777777778;9.9;8.7;;5458.0;40.0;4.09;0.08;0.52;0.06;;;1997AJ....114..376C (Castro);G 124-40 HD 126614 BD-04 3690 SAO 139932 HIP 70623
G_125-4;K0V;289.75416666666666;41.63461111111111;9.67;8.83;-123.5;5196.0;131.0;3.82;0.31;-0.26;0.26;V;;1999ApJ...523..234T (Tomkin);G 125-4 BD+41 3306 G 208-18 HIP 94931
G_126-62;sdF8;332.87916666666666;18.09283333333333;9.91;9.47;-291.3;6055.0;55.0;4.09;0.08;-1.44;0.13;VI;;2000A&A...353..978M (Mishenina);G 126-62 BD+17 4708 G 127-7 HIP 109558
G_136-45;G0;225.14583333333331;8.600166666666667;8.01;7.31;;5598.0;26.0;4.41;0.05;-0.13;0.05;;;1994AJ....107.2240C (Carney);G 136-45 HD 132756 BD+09 2983 G 66-49 SAO 120789 HIP 73449
G_139-48;G0V;263.6791666666667;6.014333333333333;8.95;8.39;-144.0;5774.0;38.0;4.24;0.07;-0.76;0.07;V;;2000AJ....120.1841F (Fulbright);G 139-48 HD 159482 BD+06 3455 G 140-1 SAO 122527 HIP 86013
G_140-5;A5;264.94166666666666;2.416555555555556;10.38;9.93;-397.7;6035.0;38.0;3.94;0.06;-2.09;0.09;;;2000A&A...364..249M (Mashonkina);G 140-5 BD+02 3375 G 20-8 SAO 122621 HIP 86443
G_143-17;G5Vw;298.7916666666667;10.740944444444445;9.39;8.82;-192.7;5513.0;30.0;4.25;0.06;-1.5;0.08;V;w;2000AJ....120.1841F (Fulbright);G 143-17 HD 188510 BD+10 4091 SAO 105417 HIP 98020
G_144-6;F7V-VI;306.55;9.450111111111111;8.85;8.36;-246.3;5974.0;34.0;4.19;0.05;-1.11;0.07;V;#NAME?;2000A&A...362.1077Z (Zhao);G 144-6 HD 194598 BD+09 4529 G 24-15 SAO 125806 HIP 100792
G_149-25;K0;194.38333333333333;18.693444444444445;8.8;8.97;;5601.0;29.0;4.53;0.06;-0.33;0.06;;;1994AJ....107.2240C (Carney);G 149-25 HD 112573 BD+19 2618 G 61-24 SAO 100348
G_160-27;G0;57.675;-4.622305555555556;8.83;8.15;17.2;5504.0;30.0;3.91;0.07;-0.48;0.06;;;1994AJ....107.2240C (Carney);G 160-27 HD 24156 BD-05 762 SAO 130766 HIP 17987
G_162-13;K2;150.49583333333334;-10.40538888888889;10.2;8.9;;5343.0;37.0;4.47;0.07;0.34;0.06;;;1998A&AS..129..237F (Feltzing);G 162-13 HD 87007 BD-09 2975 SAO 155669 HIP 49161
G_163-78;K0;171.07083333333333;-1.5290833333333331;9.5;8.8;;5185.0;112.0;4.17;0.26;0.36;0.23;;;1997AJ....114..376C (Castro);G 163-78 HD 99109 BD-00 2437 SAO 138182 HIP 55664
G_165-11;G0;203.12916666666663;36.03513888888889;8.54;7.99;-28.9;5800.0;31.0;4.12;0.06;-0.57;0.06;;;1994AJ....107.2240C (Carney);G 165-11 HD 117858 BD+36 2382 SAO 63594 HIP 66051
G_165-39;A4;209.7875;33.86094444444445;10.44;10.06;-162.0;6160.0;40.0;3.98;0.06;-2.03;0.1;;;2000A&A...364..249M (Mashonkina);G 165-39 BD+34 2476 HIP 68321
G_166-25;F9V;216.375;20.590166666666665;7.89;7.3;-53.4;5786.0;29.0;4.09;0.06;-0.6;0.05;V;;1993A&A...275..101E (Edvardsson);G 166-25 HD 126512 BD+21 2649 SAO 83342 HIP 70520
G_166-45;A5;222.25833333333333;25.70255555555556;10.16;9.72;34.0;6060.0;51.0;3.93;0.08;-2.16;0.12;;;2000AJ....120.1841F (Fulbright);G 166-45 BD+26 2606 SAO 83543 HIP 72461
G_170-47;G0;263.175;23.73655555555556;9.59;8.95;-284.2;5070.0;34.0;2.35;0.1;-2.48;0.07;;;2000A&A...353..978M (Mishenina);G 170-47 BD+23 3130 SAO 85193 HIP 85855
G_175-33;G0;66.85416666666667;46.85316666666667;7.3;6.71;38.6;5731.0;39.0;4.15;0.08;0.3;0.06;;;2001A&A...369.1048P (Prugniel);G 175-33 HD 28005 BD+46 884 G 81-19 SAO 39540 HIP 20800
G_176-11;M2V;166.37083333333334;43.526777777777774;10.22;8.68;64.9;3948.0;9.0;5.13;0.29;-1.43;0.04;V;;1994ApJS...94..687W (Worthey);G 176-11 BD+44 2051 BD+44 2051A SAO 43609 HIP 54211
G_180-35;K0V;242.6;43.817638888888894;7.57;6.67;-5.5;5292.0;28.0;4.36;0.05;0.49;0.05;V;;2003A&A...402..433L (Le Borgne);G 180-35 HD 145675 BD+44 2549 G 202-30 SAO 45933 HIP 79248
G_181-47;G1V;261.6791666666667;31.077194444444444;9.09;8.5;-70.1;5632.0;41.0;4.06;0.09;-0.48;0.08;V;;2000AJ....120.1841F (Fulbright);G 181-47 HD 158226 BD+31 3027 G 182-10 SAO 66051 HIP 85378
